,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,App Name
11,gp:AOqpTOEtYb433PZB646xPAuECJJWkfOdmqu6iiPAL4U1Wd4z8qxvQs4KzKUB64B28awY9MZAr84dbPpVGZSn9-0,Allen Josh,https://play-lh.googleusercontent.com/a-/AOh14Gje5dCSR35lKvuEqjs-JVgVA1MvPDwtntmRjo5i,"1 Million years ahead of Whatsapp [Edit] Still ahead of W.A; however when I updated to Android 12 , the app is surprisingly Laggy and not smooth. it was perfectly fine on Android 11 , I don't know what makes Android 12 to run unsmooth in telegram but this should be fixed",3,4,8.6.0,2022-03-12 22:27:39,,,Telegram
12,gp:AOqpTOFlqc3Np3_YwaOQAeiQlx5edpW_RV6dmhAAejtMbH0PNchQ_GMSjoBZVuP2zkTMJEA5hpIIOsVt0qScnVE,Steve H,https://play-lh.googleusercontent.com/a/AATXAJxVcTxqHSEC3j67rBby9llLB0q9JmYKwBhhu7yC=mo,Notifications are 50:50! And now video calling doesn't work?! May be time to throw in the towel on telegram. Getting worse and worse.,1,5,8.6.0,2022-03-13 10:32:57,We're aware of the issue which is already fixed in our development branch. A new update will be available shortly for all our users. Thank you for your patience.,2022-03-13 12:26:01,Telegram
13,gp:AOqpTOFg6hGWvnaGR9zp_gBPk01Ezf1kdFMSO7ntWrI35hNKKKyooWjBJIo4F2vtvS42tMSFF5isM3lLqWcX1Ao,Marcus,https://play-lh.googleusercontent.com/a-/AOh14GiylMIDKFRm9J5SKRSU_3x2xguQY63LGM6dlWAP,Great app but today's update with a few contacts showing at the bottom of live chat persons is annoying! Please change this asap! It's back on again after update 3/12/22 remove it asap!!!!,2,5,8.6.0,2022-03-12 19:19:52,,,Telegram
14,gp:AOqpTOF-TjSjhaQ7UDIQXx6kxQOZuaDO0ll3UO0baY86LgWl-A8O8gL7l2wG7IgCwP3HAqEqlyI5m9oV2Txs6WU,Rodney j meece,https://play-lh.googleusercontent.com/a-/AOh14GjQxuz1J9h9DMCwDWfsfAfVdc5b2-qJ9r2wFYPryg,Didn't see what the hype was about with this app this app absolutely sucks you can't message anyone on there what's the point of downloading it and setting up an account if you can talk to the person you're intending to talk to just a waste of time and hard drives face uninstalling goodbye,1,1,8.6.1,2022-03-16 21:56:01,,,Telegram
15,gp:AOqpTOHWo4MxJsr3q4QEiE88s3PbuPt0bdlnz5emI-L2XhM-hQqSTY0aWiEjdcRo7xWPrttIJz_S51MZr8y6Wrk,Gregory Kapanowski,https://play-lh.googleusercontent.com/a/AATXAJyPw6ZPlov5IWwF-tOnPzIKArdeKf4qhczs_ZEB=mo,The app was working great. After thisblast update I can no longer change the theme settings. I select the one I want and it keeps defaulting to the one I already had set.,4,1,8.6.1,2022-03-13 19:32:00,,,Telegram
16,gp:AOqpTOG_nWI8tZlq5aUQLkEYiG6QzbhCsJ0ZnX8gJn4dbzucnyCUolxN1eTdIa2HZ0CoYNt-yjUZxWbM_6y06KY,Js Leighton,https://play-lh.googleusercontent.com/a-/AOh14GhORLxg8SmUwIid8FCEl9GZ2Q9tFtGNaKF95s7x,It's a welcome change from Whatsapp and Hangouts . Notifications can de silenced or loudly sounding can notify through do not disturb moad. You will never mess important messages again.,5,1,8.6.1,2022-03-17 17:38:53,,,Telegram
17,gp:AOqpTOFV0gJNtbLWW9kdERxKFg50CeEnB1QsJmZogl_vCUL_t40uUxWcgfhyJGncVMvq_o81nRz9oIvNl9oHrSY,YK,https://play-lh.googleusercontent.com/a-/AOh14GjgIGySoVCZ0aee9vArg1H0dr4KvWE7NwQ7W8PPTQ,"Sending more than 200 messages in a row is restricting the account. I would be glad if you fix this. Because of this, I can't send too many messages to my acquaintances or my other account.",4,16,8.6.1,2022-03-13 19:57:53,,,Telegram
18,gp:AOqpTOEpDYBWu_CcgQL7uKFA2Nead0SHs286eYQjcqsgejL0UFn5aMKWYTJCICEsWdgG8edMIMO-44-oW6ksbyo,Fahad Muhammad,https://play-lh.googleusercontent.com/a-/AOh14GgzfLvwXdCp2fbEmhhWMTfXl4HlDig7G9s78faTRhM,"verification code voice call not receiving After update telegram is not calling for verification code. i uninstalled it , and install previous old version from open market any website. that app work and did me voice call that was V8.5.3",1,1,8.6.1,2022-03-15 13:02:43,"By default, Telegram sends new login codes to a user’s other active *Telegram apps* when a user is logged in on multiple devices. On the mobile apps, there is the option to request an SMS code instead – from ‘Send as SMS’ on the login page. For security reasons, the Web and Desktop apps can’t send SMS codes, only login codes to other Telegram apps.",2022-03-15 16:00:39,Telegram
19,gp:AOqpTOGTEtR94n-UPoBkL9GvXZ8LVIX1VICRzJJNlokD0kPkEh3Vlaz2yTX9PeA_sAdFKg62x98qlaEmTr8YWas,Scott Corbitt,https://play-lh.googleusercontent.com/a-/AOh14GjwhhH4oGjL6OImsrpXZikZ_FbiteSw3EcyDO_7,"The notifications on this app are terrible. If you swipe a notification away, it will reappear again - sometimes twice!",1,0,8.6.1,2022-03-16 09:40:58,,,Telegram
20,gp:AOqpTOECfyApQ0NLOUZQHECA3yappOs64x78Y_ujqqT7dbDQiiDb31Y_L9q_UAhlr0o4Cb6WJozuBRuK-Yrn7to,Mike Mumvuri,https://play-lh.googleusercontent.com/a-/AOh14GgDVhsMdpaDXTTj9HlirxJQ_xWXxwrpNvR2cg-sQw,Love the new universal download page but can u make the page button always available at home screen and not only when I have downloads running,5,3,8.6.1,2022-03-15 13:46:55,,,Telegram
21,gp:AOqpTOFVMBl2Ma3f7Vh-tpsHkQget56vMEcYbnWmDsculxarFnRHVmkiQCpgvGYYtegl8i8tReCnBlyeSR9MtFw,monologue,https://play-lh.googleusercontent.com/a/AATXAJwkp9Gg5ocOQhP_HZnpyaWu-5sM63Re-alrAsmIJw=mo,"I've disabled contact sync in the past, but the app re-enabled it without my permission. Be careful, use this app with caution.",1,3,8.6.0,2022-03-13 02:49:06,,,Telegram
22,gp:AOqpTOHWjkeeQeuh21hi-n9XVeKebUWzKDtmN9XMxdHhskJNBRwaQumW4pCGTX1KLxG_xTHKniQk7BWc0VijHQI,Indy PFL,https://play-lh.googleusercontent.com/a-/AOh14GjgKORN-eqkl_zJ8N-MQGoudEAmeFSPhEbwm9LCoA,Animated stickers take up WAY too much storage space. Over half a gig for a feature I hardly use. Option to disable them would be appreciated!,3,245,8.6.1,2022-03-16 08:26:15,,,Telegram
23,gp:AOqpTOFPSxGDzcDYskX4m1HEONp3M-XQ_WrjNAKeqjEgu1eZAhjBwMBGvHFohxP49Ofk-9spHeUCdgCgfSUdCGs,Max Dabiri,https://play-lh.googleusercontent.com/a-/AOh14GhVYPeu1OndepU3PpTN7aTVQWfQR1arhq5LBrqrpg,All good with the recent update but I have no Emoji ! it doesn't show me any Emoji to use or to just simply see in messages 🤔,3,1,8.6.1,2022-03-16 17:49:10,,,Telegram
24,gp:AOqpTOGf0VGzF8QcUXJfwMVNfuQ6UBVtvr615qkytY-01q1TheszehJhLivKqcp_5b4DwPMTaSWOpK7jEK8dNlk,Music Rules,https://play-lh.googleusercontent.com/a-/AOh14Gh2MDv8oDWuLnM4wjKYw7BYyYD6Xse0w3yjHVz2UQ,"Love this app except that it takes up too much internal storage needing to store audio, video, document files to your internal storage space. I have a spare phone I use this on cause I let my headphones to my main phone, my spare phone don't have a lot of internal storage space to store all this stuff. 😟 Please provide an update to fix this issue.",2,61,8.5.4,2022-03-12 02:21:18,"Hello, you don't need to store a lifetime of media history on your device. To clear your Telegram cache, go to Telegram Settings > Data and Storage > Storage Usage, then configure how long unused media stays on your device. You can also clear cached data manually from there. You can re-download media from the Telegram cloud at any time as needed.",2022-03-15 08:38:04,Telegram
25,gp:AOqpTOEC7ZXq_HU08TXkdlTt7pF6plu4vV44Cs6XMHS5TNbQachVuxCgooCaqkrAT51WprYTcCdWdZR5JDvcMww,Jonathan Heenan,https://play-lh.googleusercontent.com/a-/AOh14GiA_iezZqOlboyvqB_z0ObiDK-JLCFrndXYq5tpOg,"So far it's easy to use and I love the little touches of animation that they have Incorporated into all the functions. For example there is an endless amount of stickers from all areas of pop culture and they are animated. Even when you like a post, you see a little animation and others can see it in real time as well, knowing that the post just received a new like.",5,287,8.5.4,2022-03-11 07:33:20,,,Telegram
26,gp:AOqpTOEWbaI-EvE5DSMO7y1IW7BKSIMJIt2wOZYUkB3_X_phkTXZu2v2q1Zo3eVJgDkRMyBFSce_P8HwAXx0Zvw,Corinne Hunter,https://play-lh.googleusercontent.com/a-/AOh14GhOmSCeJ5435X74qs_S4gc7OCeEzNhKgaJSbgiT8w,"Excellent. Always works. When texts aren't going through, my sister and I connect over Telegram. It's also a very convenient way to get files from my phone onto my computer and vice versa, I just send them to myself. Stickers are awesome and it's easy to add your own, which I've had fun with. The customizeable backgrounds are nice. I don't have anything bad to say, it just always works as it's meant to.",5,209,8.5.4,2022-03-11 19:21:28,,,Telegram
27,gp:AOqpTOGFOJry7fuzHAArq7qY77nZY5gRYhIzFfmT54Oh1C0upjAqs-IsECoUsydGbyaaZyjqAGd5GOs01ldfmUk,Melinda,https://play-lh.googleusercontent.com/a-/AOh14Gh7K-ZIBkXX4EslJ33H25sLv8_e5tBC-i3cLtdnoA,I don't see how this is free considering they want five bucks just to verify my phone number followed by five bucks a year. So it's not free.,1,1,8.6.1,2022-03-13 21:19:41,,,Telegram
28,gp:AOqpTOHX4jD1QhGNKNJHu_gAgG4ajRCMpudEkAbJpIYcwnTmh4y92L4jKefk_8EqQ-9eX0e876LdXfUstSE3lTs,Jordan Wirth,https://play-lh.googleusercontent.com/a-/AOh14Gj3HOfJneHrk51SH_Eg9n7NWZd67CM3Ds5oscWr0-8,An app that is superior in every way to WhatsApp and isn't being blocked by the sanction bandwagon. Thank God I have a way to communicate freely with my Russian friends.,5,0,8.6.1,2022-03-15 04:07:28,,,Telegram
29,gp:AOqpTOGim3zUN8K0ZpAGMyfXzvC0ZE7EGI86IGHk7EK8k65wM-8UIpOq4e8M4HzyvKGJNdj6AQmY5XlsjE6Ks6s,C W,https://play-lh.googleusercontent.com/a-/AOh14Gjjs_DrCPv-IUK9vV3G4zhhvQ852eo5rVWIteuIfg,"Don't rely on this app. If you're away for more than a month, it deletes all data. I'm not sure why they thought this was a good idea. Seems almost dangerous. The support team doesn't respond to anything, and I regularly get spam messages, deletion of my files, invites to dangerous groups, and people messaging me who are only miles away in real life (despite me blocking this from happening using settings).",1,1004,8.5.4,2022-02-20 11:28:22,"Sorry to hear that! Accounts have a self-destruct option enabled by default, so they automatically delete after 6 months of inactivity (in Settings > Privacy and Security, you can change this setting between 1 month to 1 year). Regarding spam, there is Block User > Report Spam. If you set a public username, you may want to remove it as well.",2022-03-12 01:16:44,Telegram
30,gp:AOqpTOFX8EN1SL6uipcAU9MRHKobPdZqTPWoifWW4bvLudnv_q7lhBG3aiQxaRf9I_r1WHF_WKOYCiY7qbYwORE,Silent Cheesedude,https://play-lh.googleusercontent.com/a-/AOh14GiUYIA2-6Pl1UxY_ogCIkkufPVzJrWe69RDeE-s-A,"Used to be a great way to chat, now, just a shell of what it used to be. Settings don't work, and there's no support to speak of. Updates seem to give you a lot of things you don't need & break things you always use. What the heck Telegram? Guess I'll be going back to feature-less WhatsApp or Over-stuffed Messenger. At least those work.",1,20,8.5.4,2022-03-11 18:15:54,"Regarding things that break, all Telegram users can submit direct feedback and bug reports to the development team at bugs.telegram.org – these reports are addressed as quickly as possible, with each new update bringing many fixes to the app.",2022-03-12 18:16:41,Telegram
31,gp:AOqpTOGJIyP0TX-FzxHKHz4f6x2-MdII29WzrLR_azTa5YoY5g4D7U50i8mPDM9hGOQok6WsjvOohWgcwgI9Img,Lina žinutė,https://play-lh.googleusercontent.com/a-/AOh14GjEMt5riXZOQr3EH60yiEsgDrfoIlfKumqBvwGy,"1. As much as I love this app and the whole concept, I am super disappointed in the recent censoring of channels. You know what I'm talking about. 2. Security sucks when the app demands for a phone number. Emails, passwords, why the heck can't we use them? There are plenty of other ways to prevent spamming & phone number requirement does an incredibly poor job. 3. We need a feature to TURN OFF text messaging from random people that are not in the contacts ASAP!!!",2,298,8.5.4,2022-03-10 01:49:41,,,Telegram
32,gp:AOqpTOEwylcg1_Q41oYm_uplWwctfUtkwHBU9s8Hsvp3RFiHDkY7qlzGsNKnH1reZ3zAMPhxyv2a0H7JDTYFCQ0,marushka grogan,https://play-lh.googleusercontent.com/a-/AOh14GguzEoSZOqs6j_aZmlBnMif6fx0AS1XKEFN4J7wmZM,"Fantastic secure messaging app. Highly effective UI makes it easy to sort through messages, edit or delete texts, pin or schedule messages, and of course the most important part - THEY HAVE THE BEST STICKERS EVER. Like most people I am stuck using a portfolio of messaging apps for friends who ""only"" use one - this is the one to rule them all for efficiency, features, prioritization of privacy, and ease of use.",5,94,8.5.4,2022-03-08 23:32:34,,,Telegram
33,gp:AOqpTOFi1w5Nl-lfiGMa53JxAF7bDKc7b_65inRVKNOVYXRaExETI0yU77Mj9edgKcjDgJIIP5ZDVGfhNJxvDUM,Bear Arbogast,https://play-lh.googleusercontent.com/a-/AOh14GiTIyb2-SOgSHLkqFimG9WbBNdDyN5mxf6UHzYavg,"Excellent , needs better instructions on how to add people to a group , but it's excellent after, incredibly fast, reliable to use the phone option or for texting , love that you can add videos and it's super fast uploading times , I've moved my group for my hiking club and every member loves this app!! So much better than fakebook !! Thanks keep up the good work Devs!! The Bears Hiking & Outdoorsmans Club Ranshaw Pa Appreciate this app Greatly !!",5,348,8.5.4,2022-02-18 12:47:21,,,Telegram
34,gp:AOqpTOEz6cZzSorrAR6LMGiyyj7EtrUebMyRZzSUNTCz4iC8GIncWw4bJS9YVE0lv7HRWvG3iCFCfNLW1ehQTBU,Maximus Joseppi,https://play-lh.googleusercontent.com/a-/AOh14Gip6em2B6qEMydfys9RqdUB7lB8E1qn2emJARd20Q,"They continually make this app worse and worse and worse with every single update. They have absolutely zero customer support you can contact. It resets your themes randomly, settings menus don't work anymore, customization options are the worst they've ever been when they used to me amazing. It used to be so good and they just destroyed this app",1,208,8.5.4,2022-02-19 18:56:02,,,Telegram
35,gp:AOqpTOFC7b4llEIy6wSD0SAsvhg99d00zI6Ws12DVzdLsn1uA1WggyzL5-16jBLJpF0knYuuA5Yb6O_loKEEaIc,G Roberts,https://play-lh.googleusercontent.com/a-/AOh14GigLtFbgIUbXQZSwxOYR8dgBVQZajErAHzVAJ3RTA,"I disagree with CW below.Not in the sense of saying her story isn't true. I think she expected a reg message app. Tele isn't a regular, Of coarse data, files..etc are not stored. That's beautiful. Dangerous, How? That is privacy at best. I have no opinion on Telegram support team. Reason? I have never had to call for any reason at all. I have never experienced spam with my account. Tele has spam? maybe mine is yet to come. No creepy, group invites or ppl passing a block account. Plus TV",5,77,8.5.4,2022-03-05 11:24:59,,,Telegram
36,gp:AOqpTOF07tv1XaX-R4wd3CN9D7CzubFaqrL_T-xOOYGKusi4YTc7BIdn8bcd9bPOs9ydlq_vwydPOtbsj-7Y5Sc,Gordon Koo,https://play-lh.googleusercontent.com/a-/AOh14GhtNDktoVQao8WSW7S2gWE7XjCXcpUT_SG7dF_zHQ,"Was great, but their spam filters are so tough that i was banned for sending a link that my friend was asking for because he wanted to know what i used and then my account was deleted without any recourse or warning with all my contacts lost/deleted by them. Ridiculous. Support is literally non existent, havent received a single response. I don't spam nor do i belong to any groups and i dont message first.",1,113,8.5.4,2022-02-27 20:36:45,,,Telegram
37,gp:AOqpTOFqKSJUh50oeocMC7mZbiWetfl9EnbLLAgmGfCr_y9gTy__-ArlqRatYJwl4gj_4Cw2-aVrDPYa2NNxQMk,Delilah L,https://play-lh.googleusercontent.com/a-/AOh14GhC65sbRDbtTG4bZpwuWdckbcusl-9widMXnp9gHLc,"I have had telegram for years now and it is reliable, free, enjoyable, I love the bots on there and all the music and social media on there. A lot of people don't know about its full potential but I couldn't give this app enough stars! I always get my notifications and it's only like once a year it'll act up for a few hours. I basically run my business off this app. This app is really for the people. I hope they keep the same intentions throughout their journey. Great job telegram and thanks!",5,1454,8.4.2,2022-01-01 01:59:21,,,Telegram
38,gp:AOqpTOGSerBX3M5cEErEq49yx2HNwuMnbAt73_fR9ExjAhQy57yhHPRyjSvlkBgq4UHMgAithY4R7n_NZk_1Mzs,Bonnie Barrett,https://play-lh.googleusercontent.com/a/AATXAJy9-h22WMrmlBNgUiXBl1tkaIIW9pDXXZ1PO5_0=mo,Finally got onto platform. Did not give permissions for putting code in for and yet it did it anyway. Not thrilled with this action. Only reason got back on was due to group request for events. Will see with settings of the notifications and such can be controlled as I see the battery drain has never been corrected from the initial app rollout. It's a shame because the platform seemed basic and allowed for open discussion.,2,53,8.5.4,2022-03-05 00:03:27,,,Telegram
39,gp:AOqpTOHXX6t4w836BjukUda29l4lvFK91VsNJAuixbEzqBUjNbSAHGNIgw-o0TjvTvwMmt3P-l-PAwDhec8oHMM,shahnoosh _.,https://play-lh.googleusercontent.com/a-/AOh14Gid4WPYElT1ToUGr-HJZx7wK8JsurcBwK9N1XgG,"I thought telegram was the best app ever to be created and I still think so. But after the last update it completely became ruined. Things can't be added to telegram file which is in the ""Files"" of every phone. I literally don't know where all the things I download go, and it takes ages for it to show new messages and chats. And I'm not the only one having these problems!",2,1146,8.5.0,2022-02-02 00:16:57,,,Telegram
40,gp:AOqpTOGjYXG_hQQa5rzP31abpuGDBMeQt4Cw_5gCoJZ4HYbuX_kT_TEHoV_RMIXw_GlCGbcc_ijIJjbcyxacqIU,Phillip James,https://play-lh.googleusercontent.com/a-/AOh14Gg1poYG4rRPiuZ2jSqcdCwWgS8ymxetXtxFt7NW-Q,"I'm a very outspoken kind of person. Google/YouTube are not fans of outspoken people. So finding this encrypted app here was pretty awesome. I'm giving a 4 star! Overall, I enjoy the layout, the forum style it has. I also like how personal it is, or can be if you want it to be. There can always be improvements. The main thing that I am really happy about and digging, is the absolute Lack of Censorship!!! It's pretty nice to post any of your thoughts, without the Google/YT hand slaps!",4,470,8.5.1,2022-02-13 14:11:30,,,Telegram
41,gp:AOqpTOGIgjjCdtwvIaM2m2jm8Ysx9_3fHP9f8TYhw31WoANKTMQM8XqF3QtIDHbUzWWtYJMwVL3hGybkO0n-ii8,Ralph Wiggum,https://play-lh.googleusercontent.com/a-/AOh14GitNmDQXxVwm6avnvAxcewTt9ipo1KwOjbFg8JmVg,"Probably the best app out there when it comes to encrypted messaging. WhatsApp, signal, those are trash by comparison. Only problem, after this latest update, it's crashing when I open up the gifs to look for one. Might be cause my phone sucks. Also now when I push an emoji, it spawns onto my send bar slowly. So I can't tap them quickly anymore to put a bunch. Slowly they pop up. This is all since the update. You'll get your 5 stars when that bugs fixed. Great app never the less.",4,820,8.4.2,2022-01-01 20:54:39,,,Telegram
42,gp:AOqpTOHUzZIhApd6GWxQmmKEo2cOQz-cRwAJ6-woRPyGM1MM355jbYqj0evzgswCgbz6W5flIfurKuLrzgRJ7og,SA's Keeper Jucker,https://play-lh.googleusercontent.com/a-/AOh14GgFWVYWEk5ECo9F5LRcCaaBg-7x122PlLBsWCEj4Q,"I love using this app for sharing information. It's great because you can quickly send photos and videos, you can place calls in the app and you can delete messages for yourself AND for the other person in your conversation.",4,23,8.5.4,2022-03-08 05:21:14,,,Telegram
43,gp:AOqpTOEHmvAEAjoFlSGe0Hod6yRQZv33lYDeAK_Dabv0M0fl54stprMTIjxqZe9CNHeLQDlizXz3GF_YMY-P7S0,Elisheva Freely,https://play-lh.googleusercontent.com/a-/AOh14Ggmn79OsW-3k_lIEj4-hFUuexiJnLYnf-6-5MZgrDw,"Im visually impaired, and its great to be able to use TalkBack, and turn it on while youre in the app. You cant do that on me***nge*. If I get a message, and my screen reader is off after clicking on it, I have to exit, turn my screen reader on, then go back to Me***nge*. Also my reader in Me***nge* will not read what the stickers are, but it will in Telegram. Im very appreciative to you guys for that. It makes it a lot easier, especially looking for stickers to send. Font can be enlarged also!",5,1125,8.4.0,2021-12-30 02:20:37,,,Telegram
44,gp:AOqpTOF2HB363zuH3ll13wENcyM7vFBYNNork17KZDMh0wCEmNpr8_yJee1NPqdh6wiYf3DrwVFDBsEHn0fZtVY,Vova Shkliaryk,https://play-lh.googleusercontent.com/a/AATXAJx3RlGMhuJeOnqYLLUGnubjhNRiX3_bbQ6i6lIt=mo,"Audio-messages and circle shaped videos turn the screen off like it's a phone call for some weird reason. The issue haven't been fixed for more than a year now, and there's no way to disable that ""feature"" in settings. Very frustrating 👎",1,33,8.5.4,2022-02-21 20:58:59,,,Telegram
